Designator,Value,Quantity,Manufacturer 1,Manufacturer Part Number 1,Supplier 1,Supplier Part Number 1,Supplier 2,Supplier Part Number 2,Description
"U1","","1","Fox Electronics","FXO-LC736R-250","Digi-Key","631-1363-1-ND","","","OSC 250 MHZ 3.3V LVDS SMD"
"U2","","1","Texas Instruments","ADS62P49IRGCT","Digi-key","296-24398-1-ND","","","IC ADC DUAL 14BIT 250MSPS 64VQFN"
"U3","","1","Texas Instruments","LP3962EMP-3.3/NOPB","Digi-Key","LP3962EMP-3.3/NOPBCT-ND","","",""
"U4, U6","","2","Alpha & Omega Semiconductor Inc","AOZ1280CI","Digi-Key","785-1277-1-ND","","",""
"U5","","1","Linear Technology","LTC1728ES5-3.3#TRMPBF","Digi-Key","LTC1728ES5-3.3#TRMPBFCT-ND","","",""
"U7","","1","Loading...","Loading...","Avnet","AES-Z7MB-7Z010-G","Mouser","649-61083-101400LF","MicroZed is a low-cost development board based on the Xilinx Zynq-7000 All Programmable SoC. Its unique design allows it to be used as both a stand-alone evaluation board for basic SoC experimentation, or combined with a carrier card as an embeddable syst"
"U8, U9, U10","","3","Texas Instruments","SN74LVC244APWR","Digi-key","296-1230-1-ND","","","This octal buffer/line driver is operational at 1.5-V to  3.6-V V CC , but is designed specifically for 1.65-V to  3.6-V V CC operation"
"U11","","1","Pericom","FNETHE025","Digi-Key","FNETHE025CT-ND","","",""
"U12","","1","IDT, Integrated Device Technology Inc","ICS83052AGILF","Digi-Key","800-1106-5-ND","","",""
"U13","","1","Texas Instruments","CDCLVC1106PWR","Digi-Key","296-27588-1-ND","","","Clock Fanout 1:6, 100MHz low-skew"
